"#","#","*","-","-","-","(Last updated: August 2026)","","Sardinia 2026","","","","","","","","","Austria 2025","","","","","","","","","Sardinia 2025","","","","","","","","","AC 2024","","","","","","","","","Sardinia 2024","","","","","","","","","WC 2023","","","","","","","","","AC 2019","","","","","","","","","AC 2017","","","","","","","","","EC 2017","","","","","","","","","WC 2016","","IC 2015","","","","","","","","WC 2014","","WC 2013","",""
"","","","Name","Player","Team","Continent","","100%","","","S-R","","","","","BP","100%","","","S-R","","","","","","75%","","","S-R","","","","","","75%","","","S-R","","","","","","50%","","","S-R","","","","","","62%","","","S-R","","","","","","10%","","","S-R","","","","","","1%","","","S-R","","","","","","1%","","","S-R","","","","","","28%","","1%","","","","","","","","12%","","5%","",""
"1","1","*","Olivian","Surugiu","Romania","Europe","2180","1","500","500","S","1,0","8","8","8","","3","190","190","S","0,7","7","5","4","0","","","","","","","","","","","","","","","","","","","1","250","250","S","1,0","7","7","7","0","1","1240","1240","S","1,0","8","8","8","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","1","*","Victoras","Popescu","Romania","Europe","2180","1","500","500","S","1,0","8","8","8","","3","190","190","S","0,7","7","5","4","0","","","","","","","","","","","","","","","","","","","1","250","250","S","1,0","7","7","7","0","1","1240","1240","S","0,9","8","7","7","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","2","","Sebastián","Sanroman","Uruguay","America","1700,8","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","750","750","S","1,0","6","6","6","0","","","","","","","","","","2","744","744","S","1,0","8","8","6","0","1","100","100","S","1,0","6","6","5","0","2","6","6","S","1,0","7,0","7","6","0","","","","","","","","","","4F","100,8","","","","","","","","","","","","",""
"2","2","","Eddy","Bueno","Uruguay","America","1700,8","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","750","750","S","1,0","6","6","6","0","","","","","","","","","","2","744","744","S","1,0","8","8","6","0","1","100","100","S","1,0","6","6","5","0","2","6","6","S","1,0","7,0","7","6","0","","","","","","","","","","4F","100,8","","","","","","","","","","","","",""
"3","3","*","Fidelio","Santiago","Spain","Europe","1618","3","190","190","S","1,0","8","8","6","","1","500","500","S","0,7","7","5","5","0","1","375","375","S","1,0","8","8","8","0","","","","","","","","","","2","150","150","S","1,0","7","7","6","0","4","403","403","S","0,8","8","6","5","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3","3","*","Javier","Asensio","Spain","Europe","1618","3","190","190","S","1,0","8","8","6","","1","500","500","S","0,9","7","6","6","0","1","375","375","S","1,0","8","8","8","0","","","","","","","","","","2","150","150","S","1,0","7","7","6","0","4","403","403","S","0,5","8","4","4","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4","4","","Gonzalo","Maidana","Argentina","America","1463,4","","","","","","","","","","","","","","","","","","","2","225","225","S","1,0","8","8","6","0","2","450","450","S","1,0","6","6","5","0","3","95","95","S","1,0","7","7","6","0","4F","223,2","223,2","S","1,0","6","6","4","0","2","60","60","S","1,0","6","6","5","0","1","10","10","S","1,0","7,0","7","6","0","","","","","","","","","","2","336","2","3","3","1,0","7","7","6","0","4F","43,2","4F","18",""
"5","5","","Juan Alberto","Ramón","Spain","Europe","1300","","","","","","","","","","1","500","500","S","0,9","7","6","6","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","560","","","","","","","","","1","240","","",""
"6","6","","Tomás","Labayen","Argentina","America","1098,9","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","450","450","S","0,7","6","4","4","0","","","","","","","","","","4F","223,2","223,2","S","0,8","6","5","4","0","2","60","60","S","1,0","6","6","5","0","1","10","10","S","0,9","7,0","6","5","0","","","","","","","","","","2","336","4","1,7","1,7","1,0","7","7","5","0","","","4F","18",""
"7","7","*","Guilherme","Henriques","Portugal","Europe","969,3","4F","90","90","S","1,0","6","6","3","","2","300","300","S","0,7","7","5","2","0","4F","67,5","67,5","S","1,0","6","6","4","0","","","","","","","","","","4F","45","45","S","1,0","5","5","3","0","3","465","465","S","1,0","8","8","7","0","","","","","","","","","","","","","","","","","","","4F","1,8","1,8","S","0,5","4,0","2","1","0","","","","","","","","","","","","","","",""
